"","k","f","type"
"清楚",487,92,"清楚"
"換",488,92,"換"
"當時",489,92,"當時"
"元",490,91,"元"
"四",491,91,"四"
"知",492,91,"知"
"喜歡",493,90,"喜歡"
"電視",494,90,"電視"
"vchenkoshe",495,89,"vchenkoshe"
"光",496,89,"光"
"律師",497,89,"律師"
"政風",498,89,"政風"
"勒",499,89,"勒"
"黃",500,89,"黃"
"心",501,88,"心"
"用語",502,88,"用語"
"好笑",503,88,"好笑"
"判",504,88,"判"
"批",505,88,"批"
"哈",506,88,"哈"
"為何",507,88,"為何"
"郝",508,88,"郝"
"這裡",509,88,"這裡"
"戰",510,88,"戰"
"總統",511,88,"總統"
"邊",512,88,"邊"
"一樓",513,87,"一樓"
"花",514,87,"花"
"剛",515,87,"剛"
"感謝",516,87,"感謝"
"敬禮",517,87,"敬禮"
"證明",518,87,"證明"
"56",519,86,"56"
"公司",520,86,"公司"
"分身",521,86,"分身"
"朋友",522,86,"朋友"
"法律",523,86,"法律"
"拜託",524,86,"拜託"
"故事",525,86,"故事"
"條",526,86,"條"
"最好",527,86,"最好"
"可憐",528,85,"可憐"
"多少",529,85,"多少"
"拉",530,85,"拉"
"神",531,85,"神"
"寄",532,85,"寄"
"連結",533,85,"連結"
"對於",534,85,"對於"
"關係",535,85,"關係"
"4",536,84,"4"
"相關",537,84,"相關"
"送",538,84,"送"
"黑",539,84,"黑"
"當初",540,84,"當初"
"工作",541,83,"工作"
"世界",542,83,"世界"
"重點",543,83,"重點"
"家人",544,83,"家人"
"討論",545,83,"討論"
"越",546,83,"越"
"綠",547,83,"綠"
"認為",548,83,"認為"
"雞",549,83,"雞"
"五",550,82,"五"
"變",551,82,"變"
"PS",552,81,"PS"
"下去",553,81,"下去"
"羊",554,81,"羊"
"李",555,81,"李"
"河蟹",556,81,"河蟹"
"鴿子",557,81,"鴿子"
"|",558,80,"|"
"只要",559,80,"只要"
"性侵",560,80,"性侵"
"狗",561,80,"狗"
"網友",562,80,"網友"
"標準",563,80,"標準"
"■",564,79,"■"
"八",565,79,"八"
"好看",566,79,"好看"
"抓",567,79,"抓"
"真相",568,79,"真相"
"準備",569,79,"準備"
"#",570,78,"#"
"◣",571,78,"◣"
"誇張",572,78,"誇張"
"說明",573,78,"說明"
"黨",574,78,"黨"
"F",575,77,"F"
"P",576,77,"P"
"少",577,77,"少"
"有點",578,77,"有點"
"哥哥",579,77,"哥哥"
"趕快",580,77,"趕快"
"人肉",581,76,"人肉"
"不可能",582,76,"不可能"
"地震",583,76,"地震"
"其",584,76,"其"
"0",585,75,"0"
"一起",586,75,"一起"
"行為",587,75,"行為"
"屌",588,75,"屌"
"查",589,75,"查"
"弱",590,75,"弱"
"7",591,74,"7"
"內容",592,74,"內容"
"水桶",593,74,"水桶"
"代表",594,74,"代表"
"同學",595,74,"同學"
"非常",596,74,"非常"
"報紙",597,74,"報紙"
"廠商",598,74,"廠商"
"R.I.P",599,73,"R.I.P"
"地方",600,73,"地方"
"扯",601,73,"扯"
"所有",602,73,"所有"
"果然",603,73,"果然"
"排",604,73,"排"
"終於",605,73,"終於"
"補",606,73,"補"
"蘋果",607,73,"蘋果"
"5",608,72,"5"
"及",609,72,"及"
"向",610,72,"向"
"那邊",611,72,"那邊"
"非",612,72,"非"
"唷",613,72,"唷"
"發生",614,72,"發生"
"葉",615,72,"葉"
"滿",616,72,"滿"
"文推",617,71,"文推"
"以上",618,71,"以上"
"它",619,71,"它"
"好多",620,71,"好多"
"如何",621,71,"如何"
"怪",622,71,"怪"
"知識",623,71,"知識"
"睡覺",624,71,"睡覺"
"爆料",625,71,"爆料"
"中指",626,70,"中指"
"西施",627,70,"西施"
"強大",628,70,"強大"
"機會",629,70,"機會"
"台北",630,69,"台北"
"民進黨",631,69,"民進黨"
"阿扁",632,69,"阿扁"
"哪裡",633,69,"哪裡"
"您",634,69,"您"
"實在",635,69,"實在"
"嘴",636,69,"嘴"
"賣",637,69,"賣"
"人員",638,68,"人員"
"民主",639,68,"民主"
"法院",640,68,"法院"
"唉",641,68,"唉"
"站",642,68,"站"
"這麼多",643,68,"這麼多"
"上面",644,67,"上面"
"小孩",645,67,"小孩"
"炸",646,67,"炸"
"要求",647,67,"要求"
"a",648,66,"a"
"台灣人",649,66,"台灣人"
"好好",650,66,"好好"
"老闆",651,66,"老闆"
"重要",652,66,"重要"
"這邊",653,66,"這邊"
"絕對",654,66,"絕對"
"學",655,66,"學"
"A",656,65,"A"
"水",657,65,"水"
"水準",658,65,"水準"
"必",659,65,"必"
"帥",660,65,"帥"
"推爆",661,65,"推爆"
"慘",662,65,"慘"
"標題",663,65,"標題"
"戰王",664,65,"戰王"
"歷史",665,65,"歷史"
"贊成",666,65,"贊成"
"─",667,64,"─"
"10",668,64,"10"
"可惜",669,64,"可惜"
"作",670,64,"作"
"快點",671,64,"快點"
"段",672,64,"段"
"們",673,64,"們"
"哦",674,64,"哦"
"浪費",675,64,"浪費"
"無法",676,64,"無法"
"嗯",677,64,"嗯"
"意思",678,64,"意思"
"錯誤",679,64,"錯誤"
"騎士團",680,64,"騎士團"
"議員",681,64,"議員"
"\",682,63,"\"
"ㄉ",683,63,"ㄉ"
"市長",684,63,"市長"
"地",685,63,"地"
"拒",686,63,"拒"
"則",687,63,"則"
"責任",688,63,"責任"
"當選",689,63,"當選"
"裡面",690,63,"裡面"
"GJ",691,62,"GJ"
"二",692,62,"二"
"中肯",693,62,"中肯"
"低",694,62,"低"
"弟弟",695,62,"弟弟"
"明明",696,62,"明明"
"品牌",697,62,"品牌"
"美國",698,62,"美國"
"恐怖",699,62,"恐怖"
"精采",700,62,"精采"
"▽",701,61,"▽"
"◢",702,61,"◢"
"大推",703,61,"大推"
"方式",704,61,"方式"
"本人",705,61,"本人"
"完",706,61,"完"
"真正",707,61,"真正"
"贏",708,61,"贏"
"%",709,60,"%"
"太多",710,60,"太多"
"份",711,60,"份"
"自由",712,60,"自由"
"西",713,60,"西"
"兒子",714,60,"兒子"
"哇",715,60,"哇"
"故意",716,60,"故意"
"活",717,60,"活"
"甚麼",718,60,"甚麼"
"馬上",719,60,"馬上"
"馬英九",720,60,"馬英九"
"執行",721,60,"執行"
"解釋",722,60,"解釋"
"確定",723,60,"確定"
"還好",724,60,"還好"
"＿",725,59,"＿"
"12",726,59,"12"
"公開",727,59,"公開"
"另",728,59,"另"
"必要",729,59,"必要"
"用心",730,59,"用心"
"有趣",731,59,"有趣"
"至少",732,59,"至少"
"囧",733,59,"囧"
"見",734,59,"見"
"居然",735,59,"居然"
"隻",736,59,"隻"
"教育",737,59,"教育"
"理由",738,59,"理由"
"塊",739,59,"塊"
"賺",740,59,"賺"
"小時",741,58,"小時"
"似乎",742,58,"似乎"
"後來",743,58,"後來"
"按",744,58,"按"
"案",745,58,"案"
"竟然",746,58,"竟然"
"腦殘",747,58,"腦殘"
"資格",748,58,"資格"
"養",749,58,"養"
"踹",750,58,"踹"
"人民",751,57,"人民"
"中國時報",752,57,"中國時報"
"以下",753,57,"以下"
"另外",754,57,"另外"
"全部",755,57,"全部"
"劣退",756,57,"劣退"
"宋楚瑜",757,57,"宋楚瑜"
"捐",758,57,"捐"
"難怪",759,57,"難怪"
"難道",760,57,"難道"
"亡",761,56,"亡"
"出去",762,56,"出去"
"外",763,56,"外"
"有種",764,56,"有種"
"政風處",765,56,"政風處"
"剛剛",766,56,"剛剛"
"掉",767,56,"掉"
"酷",768,56,"酷"
"辦",769,56,"辦"
"駭客",770,56,"駭客"
"應",771,56,"應"
"XDDDDD",772,55,"XDDDDD"
"ㄎ",773,55,"ㄎ"
"台中",774,55,"台中"
"收到",775,55,"收到"
"屁",776,55,"屁"
"承認",777,55,"承認"
"料",778,55,"料"
"鬼",779,55,"鬼"
"歲",780,55,"歲"
"解",781,55,"解"
"贊助",782,55,"贊助"
"不同",783,54,"不同"
"生活",784,54,"生活"
"吱吱",785,54,"吱吱"
"若",786,54,"若"
"要是",787,54,"要是"
"動",788,54,"動"
"教",789,54,"教"
"最近",790,54,"最近"
"轉",791,54,"轉"
"龘龘",792,54,"龘龘"
"▂",793,53,"▂"
"END",794,53,"END"
"大陸",795,53,"大陸"
"不理",796,53,"不理"
"加",797,53,"加"
"字",798,53,"字"
"有的",799,53,"有的"
"至於",800,53,"至於"
"行政",801,53,"行政"
"身",802,53,"身"
"受",803,53,"受"
"奇怪",804,53,"奇怪"
"挖",805,53,"挖"
"頁",806,53,"頁"
"娘",807,53,"娘"
"留",808,53,"留"
"基本",809,53,"基本"
"救護車",810,53,"救護車"
"提供",811,53,"提供"
"酸",812,53,"酸"
"人渣",813,52,"人渣"
"公文",814,52,"公文"
"手",815,52,"手"
"方法",816,52,"方法"
"任何",817,52,"任何"
"行",818,52,"行"
"住",819,52,"住"
"決定",820,52,"決定"
"勇氣",821,52,"勇氣"
"國",822,52,"國"
"部分",823,52,"部分"
"當事人",824,52,"當事人"
"蝦",825,52,"蝦"
"戲",826,52,"戲"
"上來",827,51,"上來"
"才能",828,51,"才能"
"半",829,51,"半"
"正確",830,51,"正確"
"前面",831,51,"前面"
"原諒",832,51,"原諒"
"鬥",833,51,"鬥"
"國歌",834,51,"國歌"
"等等",835,51,"等等"
"跳針",836,51,"跳針"
"整理",837,51,"整理"
"辦法",838,51,"辦法"
"顏色",839,51,"顏色"
"願意",840,51,"願意"
"★",841,50,"★"
"QQ",842,50,"QQ"
"不少",843,50,"不少"
"可悲",844,50,"可悲"
"台北市",845,50,"台北市"
"丟",846,50,"丟"
"成",847,50,"成"
"妙",848,50,"妙"
"重",849,50,"重"
"麻煩",850,50,"麻煩"
"學校",851,50,"學校"
"大便",852,49,"大便"
"友情",853,49,"友情"
"日",854,49,"日"
"王清峰",855,49,"王清峰"
"系列",856,49,"系列"
"乖",857,49,"乖"
"紅姨",858,49,"紅姨"
"害",859,49,"害"
"造成",860,49,"造成"
"提",861,49,"提"
"裝",862,49,"裝"
"電腦",863,49,"電腦"
"團體",864,49,"團體"
"鬧",865,49,"鬧"
"壓力",866,49,"壓力"
"環評",867,49,"環評"
"簽",868,49,"簽"
"$",869,48,"$"
"p",870,48,"p"
"push",871,48,"push"
"人物",872,48,"人物"
"千文兄",873,48,"千文兄"
"不管",874,48,"不管"
"名字",875,48,"名字"
"老",876,48,"老"
"言論",877,48,"言論"
"受害",878,48,"受害"
"便",879,48,"便"
"殺人償命",880,48,"殺人償命"
"被害",881,48,"被害"
"棒",882,48,"棒"
"硬",883,48,"硬"
"經",884,48,"經"
"精彩",885,48,"精彩"
"樓下",886,48,"樓下"
"難看",887,48,"難看"
"IBM",888,47,"IBM"
"口交",889,47,"口交"
"日本",890,47,"日本"
"存在",891,47,"存在"
"妓",892,47,"妓"
"指",893,47,"指"
"原因",894,47,"原因"
"除了",895,47,"除了"
"晚上",896,47,"晚上"
"該死",897,47,"該死"
"對方",898,47,"對方"
"影射",899,47,"影射"
"先生",900,46,"先生"
"好奇",901,46,"好奇"
"告訴",902,46,"告訴"
"依",903,46,"依"
"某些",904,46,"某些"
"時代",905,46,"時代"
"高層",906,46,"高層"
"清流",907,46,"清流"
"傑瑞",908,46,"傑瑞"
"無聊",909,46,"無聊"
"貼",910,46,"貼"
"週",911,46,"週"
"黑道",912,46,"黑道"
"補推",913,46,"補推"
"100",914,45,"100"
"11",915,45,"11"
"x",916,45,"x"
"方",917,45,"方"
"或是",918,45,"或是"
"倒",919,45,"倒"
"剛好",920,45,"剛好"
"強者",921,45,"強者"
"桶",922,45,"桶"
"眼",923,45,"眼"
"連戰",924,45,"連戰"
"期待",925,45,"期待"
"跑",926,45,"跑"
"路",927,45,"路"
"遊戲",928,45,"遊戲"
"電話",929,45,"電話"
"算是",930,45,"算是"
"精神",931,45,"精神"
"影響",932,45,"影響"
"調查",933,45,"調查"
"輸",934,45,"輸"
"職業",935,45,"職業"
"歡迎",936,45,"歡迎"
"聽到",937,45,"聽到"
"IP",938,44,"IP"
"大學",939,44,"大學"
"小姐",940,44,"小姐"
"地獄",941,44,"地獄"
"作者",942,44,"作者"
"原本",943,44,"原本"
"消息",944,44,"消息"
"救",945,44,"救"
"畢業",946,44,"畢業"
"發展",947,44,"發展"
"結束",948,44,"結束"
"間",949,44,"間"
"幫忙",950,44,"幫忙"
"嚴重",951,44,"嚴重"
"十",952,43,"十"
"中間",953,43,"中間"
"父母",954,43,"父母"
"主",955,43,"主"
"出面",956,43,"出面"
"正常",957,43,"正常"
"生",958,43,"生"
"立委",959,43,"立委"
"多久",960,43,"多久"
"利用",961,43,"利用"
"命",962,43,"命"
"屎",963,43,"屎"
"差不多",964,43,"差不多"
"配套",965,43,"配套"
"偽造",966,43,"偽造"
"第二",967,43,"第二"
"照",968,43,"照"
"補充",969,43,"補充"
"滾",970,43,"滾"
"戰力",971,43,"戰力"
"權力",972,43,"權力"
"╮",973,42,"╮"
"0.0",974,42,"0.0"
"y",975,42,"y"
"上班",976,42,"上班"
"文化",977,42,"文化"
"水球",978,42,"水球"
"可怕",979,42,"可怕"
"回文",980,42,"回文"
"回家",981,42,"回家"
"低調",982,42,"低調"
"的確",983,42,"的確"
"為啥",984,42,"為啥"
"借",985,42,"借"
"起",986,42,"起"
"參考",987,42,"參考"
"累",988,42,"累"
"意見",989,42,"意見"
"號",990,42,"號"
"資訊",991,42,"資訊"
"管理",992,42,"管理"
"說法",993,42,"說法"
"驗收",994,42,"驗收"
"市場",995,41,"市場"
"考",996,41,"考"
"沒用",997,41,"沒用"
"沒辦法",998,41,"沒辦法"
"砍",999,41,"砍"
"首",1000,41,"首"
"原文",1001,41,"原文"
"針對",1002,41,"針對"
"帶",1003,41,"帶"
"猜",1004,41,"猜"
"貼上",1005,41,"貼上"
"圖",1006,41,"圖"
"滷蛋",1007,41,"滷蛋"
"監控",1008,41,"監控"
"認識",1009,41,"認識"
"講話",1010,41,"講話"
"小弟",1011,40,"小弟"
"他媽的",1012,40,"他媽的"
"司法",1013,40,"司法"
"犯罪",1014,40,"犯罪"
"因",1015,40,"因"
"有錢",1016,40,"有錢"
"男",1017,40,"男"
"良心",1018,40,"良心"
"家長",1019,40,"家長"
"馬桶",1020,40,"馬桶"
"聖堂",1021,40,"聖堂"
"夢",1022,40,"夢"
"領",1023,40,"領"
"頭",1024,40,"頭"
"檢察官",1025,40,"檢察官"
"′",1026,39,"′"
"30",1027,39,"30"
"了解",1028,39,"了解"
"反對",1029,39,"反對"
"生命",1030,39,"生命"
"汪汪",1031,39,"汪汪"
"政見",1032,39,"政見"
"容易",1033,39,"容易"
"拿來",1034,39,"拿來"
"站方",1035,39,"站方"
"討厭",1036,39,"討厭"
"部長",1037,39,"部長"
"頂多",1038,39,"頂多"
"單位",1039,39,"單位"
"替",1040,39,"替"
"貴",1041,39,"貴"
"當年",1042,39,"當年"
"道歉文",1043,39,"道歉文"
"衝",1044,39,"衝"
"聲音",1045,39,"聲音"
"歸零",1046,39,"歸零"
"▁",1047,38,"▁"
"▇",1048,38,"▇"
"2010",1049,38,"2010"
"50",1050,38,"50"
"8",1051,38,"8"
"K",1052,38,"K"
"一切",1053,38,"一切"
"一般",1054,38,"一般"
"口",1055,38,"口"
"反串",1056,38,"反串"
"只好",1057,38,"只好"
"必須",1058,38,"必須"
"犯",1059,38,"犯"
"白",1060,38,"白"
"某人",1061,38,"某人"
"突然",1062,38,"突然"
"書",1063,38,"書"
"病",1064,38,"病"
"臭",1065,38,"臭"
